Year,Age ,Sex,People ,
2021,30,1,65171124,
2022,30,1,62674475,
2023,30,1,60615123,
2024,30,1,58218634,
2025,30,1,53708271,
2026,30,1,52345746,
2027,30,1,50986237,
2028,30,1,49547220,
2029,30,1,47758258,
2030,30,1,45778601,
2031,30,1,43973598,
2032,30,1,42497051,
2033,30,1,41233445,
2034,30,1,40306979,
2035,30,1,39820522,
2036,30,1,39626371,
2037,30,1,39802946,
2038,30,1,40445283,
2039,30,1,41224602,
2040,30,1,41895433,
2041,30,1,42494665,
2042,30,1,43266482,
2043,30,1,43531195,
2044,30,1,43401749,
2045,30,1,42868901,
2046,30,1,42625369,
2047,30,1,42761844,
2048,30,1,42369299,
2049,30,1,41617218,
2050,30,1,40497010,
2051,30,1,39164862,
2052,30,1,37521110,
2053,30,1,36222644,
2054,30,1,35625631,
2055,30,1,35697871,
2056,30,1,35415538,
2057,30,1,34597912,
2058,30,1,33986547,
2059,30,1,33159957,
2060,30,1,32271293,
2061,30,1,31583636,
2062,30,1,30959255,
2063,30,1,30415974,
2064,30,1,29954468,
2065,30,1,29587872,
2066,30,1,29302634,
2067,30,1,29085246,
2068,30,1,28930386,
2069,30,1,28822059,
2070,30,1,28750701,
2071,30,1,28703137,
2072,30,1,28665827,
2073,30,1,28626435,
2074,30,1,28579377,
2075,30,1,28528154,
2076,30,1,28464835,
2077,30,1,28364960,
2078,30,1,28219856,
2079,30,1,28040136,
2080,30,1,27839522,
2081,30,1,27615176,
2082,30,1,27345012,
2083,30,1,27028493,
2084,30,1,26680697,
2085,30,1,26313335,
2086,30,1,25941954,
2087,30,1,25575809,
2088,30,1,25218315,
2089,30,1,24869286,
2090,30,1,24523754,
2091,30,1,24185810,
2092,30,1,23870179,
2093,30,1,23582497,
2094,30,1,23318210,
2095,30,1,23072395,
2096,30,1,22843237,
2097,30,1,22636029,
2098,30,1,22451495,
2099,30,1,22285986,
2100,30,1,22137492,
1990,35,1,44681679,
1991,35,1,46208476,
1992,35,1,46934790,
1993,35,1,47970878,
1994,35,1,45974021,
1995,35,1,43384432,
1996,35,1,40086433,
1997,35,1,38669122,
1998,35,1,42541630,
1999,35,1,47837028,
2000,35,1,52756602,
2001,35,1,59630153,
2002,35,1,63175663,
2003,35,1,61967808,
2004,35,1,63018318,
2005,35,1,63836439,
2006,35,1,64429014,
2007,35,1,65176719,
2008,35,1,64774425,
2009,35,1,62566241,
2010,35,1,60050383,
2011,35,1,56862594,
2012,35,1,54044810,
2013,35,1,51209679,
2014,35,1,49178978,
2015,35,1,48036543,
2016,35,1,47143559,
2017,35,1,49750884,
2018,35,1,50608135,
2019,35,1,51014851,
2020,35,1,51484430,
2021,35,1,53411363,
2022,35,1,54467205,
2023,35,1,56808616,
2024,35,1,59712175,
2025,35,1,64561121,
2026,35,1,64696661,
2027,35,1,62229736,
2028,35,1,60199493,
2029,35,1,57831981,
2030,35,1,53363798,
2031,35,1,52020298,
2032,35,1,50677925,
2033,35,1,49255232,
2034,35,1,47483522,
2035,35,1,45521184,
2036,35,1,43731738,
2037,35,1,42268414,
2038,35,1,41016531,
2039,35,1,40099873,
2040,35,1,39621037,
2041,35,1,39432945,
2042,35,1,39613877,
2043,35,1,40258731,
2044,35,1,41039949,
2045,35,1,41712973,
2046,35,1,42314460,
2047,35,1,43088065,
2048,35,1,43356185,
2049,35,1,43231193,
2050,35,1,42703722,
2051,35,1,42464678,
2052,35,1,42604931,
2053,35,1,42217103,
2054,35,1,41470205,
2055,35,1,40355548,
2056,35,1,39029566,
2057,35,1,37393196,
2058,35,1,36100757,
2059,35,1,35507808,
2060,35,1,35582142,
2061,35,1,35302512,
2062,35,1,34488792,
2063,35,1,33880664,
2064,35,1,33057690,
2065,35,1,32172641,
2066,35,1,31488010,
2067,35,1,30866429,
2068,35,1,30325694,
2069,35,1,29866490,
2070,35,1,29501930,
2071,35,1,29218503,
2072,35,1,29002752,
2073,35,1,28849373,
2074,35,1,28742405,
2075,35,1,28672290,
2076,35,1,28625881,
2077,35,1,28589676,
2078,35,1,28551356,
2079,35,1,28505347,
2080,35,1,28455138,
2081,35,1,28392807,
2082,35,1,28293930,
2083,35,1,28149846,
2084,35,1,27971154,
2085,35,1,27771556,
2086,35,1,27548216,
2087,35,1,27279066,
2088,35,1,26963575,
2089,35,1,26616801,
2090,35,1,26250452,
2091,35,1,25880055,
2092,35,1,25514849,
2093,35,1,25158251,
2094,35,1,24810071,
2095,35,1,24465361,
2096,35,1,24128204,
2097,35,1,23813316,
2098,35,1,23526322,
2099,35,1,23262680,
2100,35,1,23017471,
1990,40,1,33386447,
1991,40,1,35043715,
1992,40,1,37368981,
1993,40,1,39624603,
1994,40,1,42140985,
1995,40,1,44026299,
1996,40,1,45518095,
1997,40,1,46223030,
1998,40,1,47233324,
1999,40,1,45249390,
2000,40,1,42685371,
2001,40,1,39422267,
2002,40,1,38026649,
2003,40,1,41862518,
2004,40,1,47091378,
2005,40,1,51950850,
2006,40,1,58731471,
2007,40,1,62231627,
2008,40,1,61062704,
2009,40,1,62121469,
2010,40,1,62947337,
2011,40,1,63552503,
2012,40,1,64307180,
2013,40,1,63930012,
2014,40,1,61772907,
2015,40,1,59309477,
2016,40,1,56179069,
2017,40,1,53406997,
2018,40,1,50613464,
2019,40,1,48612152,
2020,40,1,47486304,
2021,40,1,46606738,
2022,40,1,49193079,
2023,40,1,50044917,
2024,40,1,50458764,
2025,40,1,50936590,
2026,40,1,52856914,
2027,40,1,53929826,
2028,40,1,56273376,
2029,40,1,59170905,
2030,40,1,63998181,
2031,40,1,64146850,
2032,40,1,61715608,
2033,40,1,59715143,
2034,40,1,57379676,
2035,40,1,52961054,
2036,40,1,51638811,
2037,40,1,50315976,
2038,40,1,48912395,
2039,40,1,47161489,
2040,40,1,45220486,
2041,40,1,43450358,
2042,40,1,42003428,
2043,40,1,40766092,
2044,40,1,39861601,
2045,40,1,39392202,
2046,40,1,39211582,
2047,40,1,39397847,
2048,40,1,40045731,
2049,40,1,40829183,
2050,40,1,41504799,
2051,40,1,42108929,
2052,40,1,42884611,
2053,40,1,43156855,
2054,40,1,43037308,
2055,40,1,42516438,
2056,40,1,42282914,
2057,40,1,42427899,
2058,40,1,42045927,
2059,40,1,41305419,
2060,40,1,40197565,
2061,40,1,38879260,
2062,40,1,37252302,
2063,40,1,35967509,
2064,40,1,35379690,
2065,40,1,35456572,
2066,40,1,35180254,
2067,40,1,34371441,
2068,40,1,33767353,
2069,40,1,32948938,
2070,40,1,32068462,
2071,40,1,31387650,
2072,40,1,30769597,
2073,40,1,30232077,
2074,40,1,29775780,
2075,40,1,29413787,
2076,40,1,29132637,
2077,40,1,28918939,
2078,40,1,28767418,
2079,40,1,28662151,
2080,40,1,28593589,
2081,40,1,28548620,
2082,40,1,28513793,
