Year,Age ,Sex,People ,
2000,0,2,41038284,
2001,0,2,39158988,
2002,0,2,37632177,
2003,0,2,36344759,
2004,0,2,35400195,
2005,0,2,34883543,
2006,0,2,34648051,
2007,0,2,34741968,
2008,0,2,35243728,
2009,0,2,35868405,
2010,0,2,36403298,
2011,0,2,36899062,
2012,0,2,37590599,
2013,0,2,37891200,
2014,0,2,37900347,
2015,0,2,37601953,
2016,0,2,37586636,
2017,0,2,37914510,
2018,0,2,37771501,
2019,0,2,37299437,
2020,0,2,36489991,
2021,0,2,35493020,
2022,0,2,34219865,
2023,0,2,33239290,
2024,0,2,32888666,
2025,0,2,33141231,
2026,0,2,33046977,
2027,0,2,32429942,
2028,0,2,31963628,
2029,0,2,31260928,
2030,0,2,30464820,
2031,0,2,29837564,
2032,0,2,29269312,
2033,0,2,28776682,
2034,0,2,28360409,
2035,0,2,28032862,
2036,0,2,27781420,
2037,0,2,27593553,
2038,0,2,27464373,
2039,0,2,27378913,
2040,0,2,27328190,
2041,0,2,27299883,
2042,0,2,27281337,
2043,0,2,27260943,
2044,0,2,27233406,
2045,0,2,27201985,
2046,0,2,27159170,
2047,0,2,27081866,
2048,0,2,26961826,
2049,0,2,26809001,
2050,0,2,26636297,
2051,0,2,26439015,
2052,0,2,26194271,
2053,0,2,25901606,
2054,0,2,25575331,
2055,0,2,25226635,
2056,0,2,24872255,
2057,0,2,24522976,
2058,0,2,24182022,
2059,0,2,23849220,
2060,0,2,23519835,
2061,0,2,23197746,
2062,0,2,22896894,
2063,0,2,22622617,
2064,0,2,22370585,
2065,0,2,22136137,
2066,0,2,21917535,
2067,0,2,21719798,
2068,0,2,21543597,
2069,0,2,21385470,
2070,0,2,21243513,
2071,0,2,21114355,
2072,0,2,20995386,
2073,0,2,20883167,
2074,0,2,20773315,
2075,0,2,20662338,
2076,0,2,20547189,
2077,0,2,20425864,
2078,0,2,20296631,
2079,0,2,20158051,
2080,0,2,20009206,
2081,0,2,19849359,
2082,0,2,19678728,
2083,0,2,19498543,
2084,0,2,19310213,
2085,0,2,19114794,
2086,0,2,18913231,
2087,0,2,18707298,
2088,0,2,18499577,
2089,0,2,18292479,
2090,0,2,18087785,
2091,0,2,17886776,
2092,0,2,17690690,
2093,0,2,17500863,
2094,0,2,17318371,
2095,0,2,17143941,
2096,0,2,16977932,
2097,0,2,16820234,
2098,0,2,16670380,
2099,0,2,16527732,
2100,0,2,16391651,
1990,5,2,50077606,
1991,5,2,51961337,
1992,5,2,52944928,
1993,5,2,54903283,
1994,5,2,58341865,
1995,5,2,63459810,
1996,5,2,63267279,
1997,5,2,60531103,
1998,5,2,58233180,
1999,5,2,54710590,
2000,5,2,49431203,
2001,5,2,47884791,
2002,5,2,46345166,
2003,5,2,44751855,
2004,5,2,42858379,
2005,5,2,40811701,
2006,5,2,38960425,
2007,5,2,37456953,
2008,5,2,36189075,
2009,5,2,35260606,
2010,5,2,34757139,
2011,5,2,34532628,
2012,5,2,34635086,
2013,5,2,35143053,
2014,5,2,35772340,
2015,5,2,36310820,
2016,5,2,36809778,
2017,5,2,37504203,
2018,5,2,37808459,
2019,5,2,37821850,
2020,5,2,37528256,
2021,5,2,37518368,
2022,5,2,37851589,
2023,5,2,37713859,
2024,5,2,37247082,
2025,5,2,36439068,
2026,5,2,35438211,
2027,5,2,34163734,
2028,5,2,33185151,
2029,5,2,32835654,
2030,5,2,33088855,
2031,5,2,32995575,
2032,5,2,32379834,
2033,5,2,31914673,
2034,5,2,31213230,
2035,5,2,30418374,
2036,5,2,29792196,
2037,5,2,29224926,
2038,5,2,28733178,
2039,5,2,28317697,
2040,5,2,27990858,
2041,5,2,27740046,
2042,5,2,27552745,
2043,5,2,27424066,
2044,5,2,27339067,
2045,5,2,27288780,
2046,5,2,27260884,
2047,5,2,27242734,
2048,5,2,27222722,
2049,5,2,27195566,
2050,5,2,27164524,
2051,5,2,27122090,
2052,5,2,27045180,
2053,5,2,26925545,
2054,5,2,26773130,
2055,5,2,26600835,
2056,5,2,26403970,
2057,5,2,26159657,
2058,5,2,25867439,
2059,5,2,25541612,
2060,5,2,25193355,
2061,5,2,24839400,
2062,5,2,24490533,
2063,5,2,24149974,
2064,5,2,23817558,
2065,5,2,23488536,
2066,5,2,23166797,
2067,5,2,22866273,
2068,5,2,22592305,
2069,5,2,22340564,
2070,5,2,22106389,
2071,5,2,21888048,
2072,5,2,21690552,
2073,5,2,21514579,
2074,5,2,21356664,
2075,5,2,21214911,
2076,5,2,21085947,
2077,5,2,20967162,
2078,5,2,20855119,
2079,5,2,20745438,
2080,5,2,20634631,
2081,5,2,20519648,
2082,5,2,20398488,
2083,5,2,20269415,
2084,5,2,20130999,
2085,5,2,19982313,
2086,5,2,19822626,
2087,5,2,19652155,
2088,5,2,19472125,
2089,5,2,19283954,
2090,5,2,19088688,
2091,5,2,18887278,
2092,5,2,18681492,
2093,5,2,18473914,
2094,5,2,18266958,
2095,5,2,18062399,
2096,5,2,17861522,
2097,5,2,17665563,
2098,5,2,17475856,
2099,5,2,17293481,
2100,5,2,17119163,
1990,10,2,47043099,
1991,10,2,45958567,
1992,10,2,48319483,
1993,10,2,49210547,
1994,10,2,49601185,
1995,10,2,49964650,
1996,10,2,51845808,
1997,10,2,52827612,
1998,10,2,54783668,
1999,10,2,58216723,
2000,10,2,63325768,
2001,10,2,63137310,
2002,10,2,60409783,
2003,10,2,58120295,
2004,10,2,54608304,
2005,10,2,49341910,
2006,10,2,47803037,
2007,10,2,46270512,
2008,10,2,44683848,
2009,10,2,42796829,
2010,10,2,40756174,
2011,10,2,38910031,
2012,10,2,37410692,
2013,10,2,36146140,
2014,10,2,35220187,
2015,10,2,34718504,
2016,10,2,34495340,
2017,10,2,34598714,
2018,10,2,35107150,
2019,10,2,35736787,
2020,10,2,36276178,
2021,10,2,36776520,
2022,10,2,37471573,
2023,10,2,37776280,
2024,10,2,37790428,
2025,10,2,37497398,
2026,10,2,37487465,
2027,10,2,37820943,
2028,10,2,37684279,
2029,10,2,37218615,
2030,10,2,36411847,
2031,10,2,35412257,
2032,10,2,34139052,
2033,10,2,33161531,
2034,10,2,32812700,
2035,10,2,33066242,
2036,10,2,32973493,
2037,10,2,32358516,
2038,10,2,31894025,
2039,10,2,31193330,
2040,10,2,30399230,
2041,10,2,29773707,
2042,10,2,29207037,
2043,10,2,28715833,
2044,10,2,28300843,
2045,10,2,27974438,
2046,10,2,27724017,
2047,10,2,27537067,
2048,10,2,27408707,
2049,10,2,27323999,
2050,10,2,27273982,
2051,10,2,27246340,
2052,10,2,27228434,
2053,10,2,27208661,
2054,10,2,27181740,
2055,10,2,27150924,
2056,10,2,27108716,
2057,10,2,27032037,
2058,10,2,26912640,
2059,10,2,26760462,
2060,10,2,26588405,
2061,10,2,26391777,
2062,10,2,26147706,
2063,10,2,25855739,
2064,10,2,25530161,
2065,10,2,25182150,
2066,10,2,24828432,
2067,10,2,24479793,
2068,10,2,24139455,
2069,10,2,23807250,
2070,10,2,23478431,
2071,10,2,23156882,
2072,10,2,22856542,
2073,10,2,22582746,
2074,10,2,22331165,
2075,10,2,22097140,
2076,10,2,21878940,
2077,10,2,21681580,
2078,10,2,21505731,
2079,10,2,21347934,
2080,10,2,21206292,
2081,10,2,21077432,
2082,10,2,20958749,
2083,10,2,20846804,
2084,10,2,20737214,
2085,10,2,20626497,
2086,10,2,20511605,
2087,10,2,20390528,
2088,10,2,20261546,
2089,10,2,20123211,
2090,10,2,19974611,
2091,10,2,19815005,
2092,10,2,19644618,
2093,10,2,19464673,
2094,10,2,19276580,
2095,10,2,19081392,
2096,10,2,18880061,
2097,10,2,18674349,
2098,10,2,18466844,
2099,10,2,18259961,
2100,10,2,18055471,
1990,15,2,58518456,
1991,15,2,55720926,
1992,15,2,53125998,
1993,15,2,50278139,
1994,15,2,48149416,
1995,15,2,46881050,
1996,15,2,45804127,
1997,15,2,48164799,
1998,15,2,49056967,
1999,15,2,49448397,
2000,15,2,49811541,
2001,15,2,51689878,
2002,15,2,52673881,
2003,15,2,54630740,
2004,15,2,58063410,
2005,15,2,63170560,
2006,15,2,62988178,
2007,15,2,60270987,
2008,15,2,57990587,
2009,15,2,54489626,
2010,15,2,49236297,
2011,15,2,47702804,
2012,15,2,46174335,
2013,15,2,44590850,
2014,15,2,42706729,
2015,15,2,40669259,
2016,15,2,38826442,
2017,15,2,37330246,
2018,15,2,36068716,
2019,15,2,35145438,
2020,15,2,34653141,
2021,15,2,34443277,
2022,15,2,34549855,
2023,15,2,35054155,
2024,15,2,35679465,
2025,15,2,36213982,
2026,15,2,36711540,
2027,15,2,37406742,
2028,15,2,37712312,
2029,15,2,37727328,
2030,15,2,37435242,
2031,15,2,37426064,
2032,15,2,37760165,
2033,15,2,37624306,
2034,15,2,37159537,
2035,15,2,36353738,
2036,15,2,35355281,
2037,15,2,34083523,
2038,15,2,33107163,
2039,15,2,32759081,
2040,15,2,33012935,
2041,15,2,32920648,
2042,15,2,32306431,
2043,15,2,31842578,
2044,15,2,31142634,
2045,15,2,30349316,
2046,15,2,29724454,
2047,15,2,29158396,
2048,15,2,28667752,
2049,15,2,28253268,
2050,15,2,27927310,
2051,15,2,27677291,
2052,15,2,27490701,
2053,15,2,27362666,
2054,15,2,27278254,
2055,15,2,27228514,
2056,15,2,27201125,
2057,15,2,27183463,
2058,15,2,27163928,
2059,15,2,27137242,
2060,15,2,27106654,
2061,15,2,27064666,
2062,15,2,26988215,
2063,15,2,26869048,
2064,15,2,26717104,
2065,15,2,26545283,
2066,15,2,26348888,
2067,15,2,26105055,
2068,15,2,25813328,
2069,15,2,25487995,
2070,15,2,25140226,
2071,15,2,24786745,
2072,15,2,24438331,
2073,15,2,24098209,
2074,15,2,23766210,
2075,15,2,23437593,
2076,15,2,23116235,
2077,15,2,22816075,
2078,15,2,22542448,
2079,15,2,22291025,
2080,15,2,22057149,
2081,15,2,21839091,
2082,15,2,21641860,
2083,15,2,21466136,
2084,15,2,21308455,
2085,15,2,21166923,
2086,15,2,21038167,
2087,15,2,20919585,
2088,15,2,20807733,
2089,15,2,20698235,
2090,15,2,20587605,
2091,15,2,20472800,
2092,15,2,20351807,
2093,15,2,20222907,
2094,15,2,20084655,
2095,15,2,19936138,
2096,15,2,19776610,
2097,15,2,19606305,
2098,15,2,19426440,
2099,15,2,19238423,
2100,15,2,19043311,
1990,20,2,61551872,
1991,20,2,61875861,
1992,20,2,62589372,
1993,20,2,62500993,
1994,20,2,60546804,
1995,20,2,58172118,
1996,20,2,55398050,
1997,20,2,52823303,
1998,20,2,49994330,
1999,20,2,47878640,
2000,20,2,46616799,
2001,20,2,45544833,
2002,20,2,47903157,
2003,20,2,48798093,
2004,20,2,49196271,
2005,20,2,49568384,
2006,20,2,51452970,
2007,20,2,52447854,
2008,20,2,54411626,
2009,20,2,57848065,
2010,20,2,62954955,
2011,20,2,62779802,
2012,20,2,60072996,
2013,20,2,57799806,
2014,20,2,54306577,
2015,20,2,49063733,
2016,20,2,47534403,
2017,20,2,46010357,
2018,20,2,44431802,
2019,20,2,42553567,
2020,20,2,40532227,
2021,20,2,38713602,
2022,20,2,37230311,
2023,20,2,35971911,
2024,20,2,35051161,
2025,20,2,34553200,
2026,20,2,34330852,
2027,20,2,34432288,
2028,20,2,34937566,
2029,20,2,35563452,
2030,20,2,36098506,
2031,20,2,36596594,
2032,20,2,37292147,
2033,20,2,37598424,
2034,20,2,37614366,
2035,20,2,37323407,
2036,20,2,37315101,
2037,20,2,37649879,
2038,20,2,37514983,
2039,20,2,37051333,
2040,20,2,36246794,
2041,20,2,35249777,
2042,20,2,33979790,
2043,20,2,33004861,
2044,20,2,32657696,
2045,20,2,32911939,
2046,20,2,32820241,
2047,20,2,32206983,
2048,20,2,31743937,
2049,20,2,31044943,
2050,20,2,30252609,
2051,20,2,29628578,
2052,20,2,29063288,
2053,20,2,28573346,
2054,20,2,28159499,
2055,20,2,27834099,
2056,20,2,27584578,
2057,20,2,27398436,
2058,20,2,27270807,
2059,20,2,27186767,
2060,20,2,27137366,
2061,20,2,27110294,
2062,20,2,27092935,
2063,20,2,27073700,
2064,20,2,27047304,
2065,20,2,27016998,
2066,20,2,26975288,
2067,20,2,26899121,
2068,20,2,26780246,
2069,20,2,26628596,
2070,20,2,26457069,
2071,20,2,26260970,
2072,20,2,26017438,
2073,20,2,25726015,
2074,20,2,25400992,
2075,20,2,25053528,
2076,20,2,24700350,
2077,20,2,24352223,
2078,20,2,24012377,
2079,20,2,23680641,
2080,20,2,23352276,
2081,20,2,23031163,
2082,20,2,22731234,
2083,20,2,22457819,
2084,20,2,22206598,
2085,20,2,21972912,
2086,20,2,21755031,
2087,20,2,21557970,
2088,20,2,21382402,
2089,20,2,21224868,
2090,20,2,21083477,
2091,20,2,20954853,
2092,20,2,20836397,
2093,20,2,20724663,
2094,20,2,20615281,
2095,20,2,20504761,
2096,20,2,20390068,
2097,20,2,20269184,
2098,20,2,20140389,
2099,20,2,20002244,
2100,20,2,19853829,
1990,25,2,50776325,
1991,25,2,57292548,
1992,25,2,60554710,
1993,25,2,59380414,
1994,25,2,60300334,
1995,25,2,61131623,
1996,25,2,61460281,
1997,25,2,62175693,
1998,25,2,62092482,
1999,25,2,60151065,
2000,25,2,57788370,
2001,25,2,55028727,
2002,25,2,52470174,
2003,25,2,49661793,
2004,25,2,47567165,
2005,25,2,46325788,
2006,25,2,45274101,
2007,25,2,47641073,
2008,25,2,48548399,
2009,25,2,48959953,
2010,25,2,49344223,
2011,25,2,51235208,
2012,25,2,52237698,
2013,25,2,54204187,
2014,25,2,57638315,
2015,25,2,62739341,
2016,25,2,62568571,
2017,25,2,59870480,
2018,25,2,57604957,
2019,25,2,54121568,
2020,25,2,48898759,
2021,25,2,47391167,
2022,25,2,45882103,
2023,25,2,44311452,
2024,25,2,42441684,
2025,25,2,40418893,
2026,25,2,38587546,
2027,25,2,37099346,
2028,25,2,35844532,
2029,25,2,34926453,
2030,25,2,34430378,
2031,25,2,34209493,
2032,25,2,34311945,
2033,25,2,34817732,
2034,25,2,35443967,
2035,25,2,35979452,
2036,25,2,36477991,
2037,25,2,37173799,
2038,25,2,37480728,
2039,25,2,37497593,
2040,25,2,37207811,
2041,25,2,37200391,
2042,25,2,37535757,
2043,25,2,37401827,
2044,25,2,36939374,
2045,25,2,36136248,
2046,25,2,35140781,
2047,25,2,33872572,
2048,25,2,32899098,
2049,25,2,32552846,
2050,25,2,32807491,
2051,25,2,32716432,
2052,25,2,32104183,
2053,25,2,31641997,
2054,25,2,30943998,
2055,25,2,30152695,
2056,25,2,29529538,
2057,25,2,28965056,
2058,25,2,28475846,
2059,25,2,28062660,
2060,25,2,27737844,
2061,25,2,27488844,
2062,25,2,27303167,
2063,25,2,27175958,
2064,25,2,27092304,
2065,25,2,27043255,
2066,25,2,27016512,
2067,25,2,26999467,
2068,25,2,26980539,
2069,25,2,26954446,
2070,25,2,26924434,
2071,25,2,26883016,
2072,25,2,26807147,
2073,25,2,26688581,
2074,25,2,26537244,
2075,25,2,26366030,
2076,25,2,26170245,
2077,25,2,25927036,
2078,25,2,25635945,
2079,25,2,25311255,
2080,25,2,24964124,
2081,25,2,24611271,
2082,25,2,24263457,
2083,25,2,23923910,
2084,25,2,23592462,
2085,25,2,23264373,
2086,25,2,22943526,
2087,25,2,22643848,
2088,25,2,22370666,
2089,25,2,22119666,
2090,25,2,21886186,
2091,25,2,21668500,
2092,25,2,21471623,
2093,25,2,21296227,
2094,25,2,21138853,
2095,25,2,20997616,
2096,25,2,20869135,
2097,25,2,20750814,
2098,25,2,20639213,
2099,25,2,20529955,
2100,25,2,20419560,
1990,30,2,40188380,
1991,30,2,37260977,
1992,30,2,36171143,
1993,30,2,40112275,
1994,30,2,45513256,
1995,30,2,50420397,
1996,30,2,56892918,
1997,30,2,60130713,
1998,30,2,58962477,
1999,30,2,59875391,
2000,30,2,60698374,
2001,30,2,61024546,
2002,30,2,61739865,
2003,30,2,61668171,
2004,30,2,59755519,
2005,30,2,57427615,
2006,30,2,54704758,
2007,30,2,52178561,
2008,30,2,49401056,
2009,30,2,47332174,
2010,30,2,46110923,
2011,30,2,45075789,
2012,30,2,47447400,
2013,30,2,48360925,
2014,30,2,48777874,
2015,30,2,49166350,
2016,30,2,51057924,
2017,30,2,52064245,
2018,30,2,54031218,
2019,30,2,57462774,
2020,30,2,62560750,
2021,30,2,62400191,
2022,30,2,59715893,
2023,30,2,57460494,
2024,30,2,53991033,
2025,30,2,48778768,
2026,30,2,47264437,
2027,30,2,45753981,
2028,30,2,44188598,
2029,30,2,42323981,
2030,30,2,40306232,
2031,30,2,38479407,
2032,30,2,36994982,
2033,30,2,35743443,
2034,30,2,34828031,
2035,30,2,34333937,
2036,30,2,34114566,
2037,30,2,34218056,
2038,30,2,34724359,
2039,30,2,35350930,
2040,30,2,35886844,
2041,30,2,36385813,
2042,30,2,37081867,
2043,30,2,37389478,
2044,30,2,37407301,
2045,30,2,37118735,
2046,30,2,37112247,
2047,30,2,37448316,
2048,30,2,37315433,
2049,30,2,36854226,
2050,30,2,36052523,
2051,30,2,35058691,
2052,30,2,33792501,
2053,30,2,32820653,
2054,30,2,32475424,
2055,30,2,32730472,
2056,30,2,32640063,
2057,30,2,32028900,
2058,30,2,31567625,
2059,30,2,30870709,
2060,30,2,30080529,
2061,30,2,29458321,
2062,30,2,28894718,
2063,30,2,28406305,
2064,30,2,27993838,
2065,30,2,27669659,
2066,30,2,27421219,
2067,30,2,27236047,
2068,30,2,27109292,
2069,30,2,27026050,
2070,30,2,26977383,
2071,30,2,26950989,
2072,30,2,26934282,
2073,30,2,26915684,
2074,30,2,26889915,
2075,30,2,26860220,
2076,30,2,26819111,
2077,30,2,26743562,
2078,30,2,26625326,
2079,30,2,26474331,
2080,30,2,26303455,
2081,30,2,26108009,
2082,30,2,25865151,
2083,30,2,25574420,
2084,30,2,25250091,
2085,30,2,24903323,
2086,30,2,24550828,
2087,30,2,24203356,
2088,30,2,23864137,
2089,30,2,23533002,
2090,30,2,23205215,
2091,30,2,22884661,
2092,30,2,22585257,
2093,30,2,22312333,
2094,30,2,22061574,
2095,30,2,21828320,
2096,30,2,21610848,
2097,30,2,21414174,
2098,30,2,21238964,
2099,30,2,21081767,
2100,30,2,20940696,
1990,35,2,41793984,
1991,35,2,43210545,
1992,35,2,43779032,
1993,35,2,44406858,
1994,35,2,42317371,
1995,35,2,39870583,
1996,35,2,36963768,
1997,35,2,35882612,
1998,35,2,39797745,
1999,35,2,45159794,
2000,35,2,50030451,
2001,35,2,56456647,
2002,35,2,59675866,
2003,35,2,58525816,
2004,35,2,59448938,
2005,35,2,60289148,
2006,35,2,60638543,
2007,35,2,61372942,
2008,35,2,61323500,
2009,35,2,59440826,
2010,35,2,57141814,
2011,35,2,54446289,
2012,35,2,51942940,
2013,35,2,49186495,
2014,35,2,47133586,
2015,35,2,45923295,
2016,35,2,44897189,
2017,35,2,47267657,
2018,35,2,48182788,
2019,35,2,48602171,
2020,35,2,48994742,
2021,35,2,50888265,
2022,35,2,51898906,
2023,35,2,53863923,
2024,35,2,57290978,
2025,35,2,62377843,
2026,35,2,62215339,
2027,35,2,59539797,
2028,35,2,57294335,
2029,35,2,53837359,
2030,35,2,48641959,
2031,35,2,47134121,
2032,35,2,45629607,
2033,35,2,44069965,
2034,35,2,42211511,
2035,35,2,40200026,
2036,35,2,38378830,
2037,35,2,36899125,
2038,35,2,35651709,
2039,35,2,34739683,
2040,35,2,34248134,
2041,35,2,34030721,
2042,35,2,34135560,
2043,35,2,34642561,
2044,35,2,35269596,
2045,35,2,35806080,
2046,35,2,36305611,
2047,35,2,37002006,
2048,35,2,37310506,
2049,35,2,37329559,
2050,35,2,37042532,
2051,35,2,37037240,
2052,35,2,37374257,
2053,35,2,37242713,
2054,35,2,36783061,
2055,35,2,35983103,
2056,35,2,34991310,
2057,35,2,33727699,
2058,35,2,32757927,
2059,35,2,32414002,
2060,35,2,32669565,
2061,35,2,32579957,
2062,35,2,31970160,
2063,35,2,31510023,
2064,35,2,30814464,
2065,35,2,30025695,
2066,35,2,29404678,
2067,35,2,28842177,
2068,35,2,28354767,
2069,35,2,27943207,
2070,35,2,27619824,
2071,35,2,27372089,
2072,35,2,27187549,
2073,35,2,27061365,
2074,35,2,26978643,
2075,35,2,26930451,
2076,35,2,26904497,
2077,35,2,26888211,
2078,35,2,26870025,
2079,35,2,26844659,
2080,35,2,26815360,
2081,35,2,26774639,
2082,35,2,26699485,
2083,35,2,26581663,
2084,35,2,26431086,
2085,35,2,26260633,
2086,35,2,26065608,
2087,35,2,25823182,
2088,35,2,25532896,
2089,35,2,25209015,
2090,35,2,24862699,
2091,35,2,24510646,
2092,35,2,24163600,
2093,35,2,23824786,
2094,35,2,23494038,
2095,35,2,23166626,
2096,35,2,22846434,
2097,35,2,22547369,
2098,35,2,22274766,
2099,35,2,22024303,
2100,35,2,21791329,
1990,40,2,30376525,
1991,40,2,32061261,
1992,40,2,34481816,
1993,40,2,36860371,
1994,40,2,39446879,
1995,40,2,41389433,
1996,40,2,42794147,
1997,40,2,43360314,
1998,40,2,43985425,
1999,40,2,41915205,
2000,40,2,39492140,
2001,40,2,36611927,
2002,40,2,35547704,
2003,40,2,39447029,
2004,40,2,44779255,
2005,40,2,49626620,
2006,40,2,56017881,
2007,40,2,59227026,
2008,40,2,58105501,
2009,40,2,59043057,
2010,40,2,59896149,
2011,40,2,60260568,
2012,40,2,61004066,
2013,40,2,60967860,
2014,40,2,59107992,
2015,40,2,56831140,
2016,40,2,54157689,
2017,40,2,51672892,
2018,40,2,48935224,
2019,40,2,46897140,
2020,40,2,45697534,
2021,40,2,44681555,
2022,40,2,47047950,
2023,40,2,47962787,
2024,40,2,48386055,
2025,40,2,48781180,
2026,40,2,50669136,
2027,40,2,51684570,
2028,40,2,53650321,
2029,40,2,57071757,
2030,40,2,62147043,
2031,40,2,61988379,
2032,40,2,59326165,
2033,40,2,57091901,
2034,40,2,53650851,
2035,40,2,48477924,
2036,40,2,46978527,
2037,40,2,45481773,
2038,40,2,43929687,
2039,40,2,42079439,
2040,40,2,40076357,
2041,40,2,38262732,
2042,40,2,36789379,
2043,40,2,35547517,
2044,40,2,34640062,
2045,40,2,34151957,
2046,40,2,33937194,
2047,40,2,34043871,
2048,40,2,34551832,
2049,40,2,35179516,
2050,40,2,35716781,
2051,40,2,36217069,
2052,40,2,36913932,
2053,40,2,37223628,
2054,40,2,37244321,
2055,40,2,36959329,
2056,40,2,36955627,
2057,40,2,37293950,
2058,40,2,37164200,
2059,40,2,36706606,
2060,40,2,35908925,
2061,40,2,34919837,
2062,40,2,33659718,
2063,40,2,32692747,
2064,40,2,32350589,
2065,40,2,32606824,
2066,40,2,32518271,
2067,40,2,31910295,
2068,40,2,31451666,
2069,40,2,30757921,
2070,40,2,29971043,
2071,40,2,29351615,
2072,40,2,28790586,
2073,40,2,28304519,
2074,40,2,27894171,
2075,40,2,27571851,
2076,40,2,27325057,
2077,40,2,27141360,
2078,40,2,27015937,
2079,40,2,26933907,
2080,40,2,26886347,
2081,40,2,26860975,
2082,40,2,26845247,
2083,40,2,26827606,
2084,40,2,26802781,
2085,40,2,26774002,
2086,40,2,26733794,
2087,40,2,26659165,
2088,40,2,26541889,
2089,40,2,26391870,
2090,40,2,26221975,
2091,40,2,26027510,
2092,40,2,25785659,
2093,40,2,25495962,
2094,40,2,25172681,
2095,40,2,24826965,
2096,40,2,24475504,
2097,40,2,24129025,
2098,40,2,23790749,
2099,40,2,23460519,
2100,40,2,23133608,
1990,45,2,23235599,
1991,45,2,23935185,
1992,45,2,24957637,
1993,45,2,26306415,
1994,45,2,27722548,
1995,45,2,29942254,
1996,45,2,31604848,
1997,45,2,33995387,
1998,45,2,36342704,
1999,45,2,38894607,
2000,45,2,40813473,
2001,45,2,42199363,
2002,45,2,42767717,
2003,45,2,43400059,
2004,45,2,41371217,
2005,45,2,38999399,
2006,45,2,36170609,
2007,45,2,35142564,
2008,45,2,39035463,
2009,45,2,44337097,
2010,45,2,49156882,
2011,45,2,55503123,
2012,45,2,58698709,
2013,45,2,57612390,
2014,45,2,58567525,
2015,45,2,59436319,
2016,45,2,59817428,
2017,45,2,60568222,
2018,45,2,60542342,
2019,45,2,58703465,
2020,45,2,56446954,
2021,45,2,53795255,
2022,45,2,51329423,
2023,45,2,48614000,
2024,45,2,46597230,
2025,45,2,45413674,
2026,45,2,44411248,
2027,45,2,46775436,
2028,45,2,47695187,
2029,45,2,48124022,
2030,45,2,48523712,
2031,45,2,50408861,
2032,45,2,51429469,
2033,45,2,53393354,
2034,45,2,56806284,
2035,45,2,61866066,
2036,45,2,61712449,
2037,45,2,59067117,
2038,45,2,56847182,
2039,45,2,53426215,
2040,45,2,48281332,
2041,45,2,46792612,
2042,45,2,45305770,
2043,45,2,43763359,
2044,45,2,41923601,
2045,45,2,39931239,
2046,45,2,38127276,
2047,45,2,36662033,
2048,45,2,35427258,
2049,45,2,34525614,
2050,45,2,34041863,
2051,45,2,33830440,
2052,45,2,33939406,
2053,45,2,34448505,
2054,45,2,35076930,
2055,45,2,35615120,
2056,45,2,36116323,
2057,45,2,36813705,
2058,45,2,37124877,
2059,45,2,37147646,
2060,45,2,36865276,
2061,45,2,36863589,
2062,45,2,37203489,
2063,45,2,37076010,
2064,45,2,36621083,
2065,45,2,35826408,
2066,45,2,34840849,
2067,45,2,33585219,
2068,45,2,32621855,
2069,45,2,32281946,
2070,45,2,32539020,
2071,45,2,32451826,
2072,45,2,31846213,
2073,45,2,31389543,
2074,45,2,30698157,
2075,45,2,29913743,
2076,45,2,29296387,
2077,45,2,28737274,
2078,45,2,28252951,
2079,45,2,27844178,
2080,45,2,27523237,
2081,45,2,27277659,
2082,45,2,27095054,
2083,45,2,26970611,
2084,45,2,26889473,
2085,45,2,26842723,
2086,45,2,26818100,
2087,45,2,26803088,
2088,45,2,26786150,
2089,45,2,26762017,
2090,45,2,26733910,
2091,45,2,26694364,
2092,45,2,26620414,
2093,45,2,26503850,
2094,45,2,26354556,
2095,45,2,26185392,
2096,45,2,25991660,
2097,45,2,25750566,
2098,45,2,25461648,
2099,45,2,25139158,
2100,45,2,24794239,
1990,50,2,21512789,
1991,50,2,21562979,
1992,50,2,21748375,
1993,50,2,21799028,
1994,50,2,22202304,
1995,50,2,22720861,
1996,50,2,23412597,
1997,50,2,24420735,
1998,50,2,25746765,
1999,50,2,27139079,
2000,50,2,29320982,
2001,50,2,30957137,
2002,50,2,33314157,
2003,50,2,35633300,
2004,50,2,38160062,
2005,50,2,40075735,
2006,50,2,41467605,
2007,50,2,42059046,
2008,50,2,42713204,
2009,50,2,40742068,
2010,50,2,38432316,
2011,50,2,35664007,
2012,50,2,34674374,
2013,50,2,38552077,
2014,50,2,43812572,
2015,50,2,48595111,
2016,50,2,54881475,
2017,50,2,58050146,
2018,50,2,56994674,
2019,50,2,57956736,
2020,50,2,58826036,
2021,50,2,59209286,
2022,50,2,59951704,
2023,50,2,59930126,
2024,50,2,58123357,
2025,50,2,55904279,
2026,50,2,53294191,
2027,50,2,50867870,
2028,50,2,48193440,
2029,50,2,46208652,
2030,50,2,45047260,
2031,50,2,44063492,
2032,50,2,46423867,
2033,50,2,47346043,
2034,50,2,47780105,
2035,50,2,48184454,
2036,50,2,50064486,
2037,50,2,51093177,
2038,50,2,53054152,
2039,50,2,56455158,
2040,50,2,61493490,
2041,50,2,61344646,
2042,50,2,58721189,
2043,50,2,56519707,
2044,50,2,53126028,
2045,50,2,48020584,
2046,50,2,46546334,
2047,50,2,45072765,
2048,50,2,43543322,
2049,50,2,41717767,
2050,50,2,39740045,
2051,50,2,37949294,
2052,50,2,36495108,
2053,50,2,35270012,
2054,50,2,34376320,
